Song,Year,Artist,Winner,trackID
"""Days of Wine and Roses""",1964,Henry Mancini,1,4pzh0gTcdwTaExRgU6uLgL
"""Desafinado""",1963,Stan Getz & Charlie Byrd,0,0aOH62uqDzuvCvN2jdVtZs
"""Despacito""",2018,Luis Fonsi & Daddy Yankee featuring Justin Bieber,0,6rPO02ozF3bM7NnOV4h6s2
"""Dilemma""",2003,Nelly featuring Kelly Rowland,0,4jnnbYNySANk7DAiVUtAP9
"""Dominique""",1964,The Singing Nun,0,3G5VTRmBWKnjiN5qX5VbHU
"""Don't It Make My Brown Eyes Blue""",1978,Crystal Gayle,0,7Jpclr7tZ6aQXjoKzWXUJV
"""Don't Know Why""",2003,Norah Jones,1,6ybViy2qrO9sIi41EgRJgx
"""Don't Let the Sun Go Down on Me""",1975,Elton John,0,11FcfHd3SOmmrWJPGe7Y30
"""Don't Worry, Be Happy""",1989,Bobby McFerrin,1,4hObp5bmIJ3PP3cKA9K9GY
"""Downtown""",1965,Petula Clark,0,0ZQ6ckgerHYM5mOUxTl99Q
"""Drops of Jupiter""",2002,Train,0,2hKdd3qO7cWr2Jo0Bcs0MA
"""Ebony and Ivory""",1983,Paul McCartney & Stevie Wonder,0,1h3bcnnIm72UnemGIfm0iZ
"""Empire State of Mind""",2011,Jay Z featuring Alicia Keys,0,2igwFfvr1OAGX9SKDCPBwO
"""Endless Love""",1982,Diana Ross & Lionel Richie,0,0FGxAEMIE5GhyFqFMHRWaO
"""Evergreen (Love Theme from A Star Is Born)""",1978,Barbra Streisand,0,0j3GgpDSr6ROmp49hcocNR
"""Every Breath You Take""",1984,The Police,0,1JSTJqkT5qHq8MDJnJbRE1
"""Everyday Is a Winding Road""",1998,Sheryl Crow,0,0t6DAi9KEiaWOtgTTXGhD2
"""Everything Is Beautiful""",1971,Ray Stevens,0,3rrrMhc76FDnS4N7wu2KfH
"""F*** You""",2011,CeeLo Green,0,4ycLiPVzE5KamivXrAzGFG
"""Fallin'""",2002,Alicia Keys,0,3unsLiH5FXmaDWtT5Imolu
"""Fancy""",2015,Iggy Azalea featuring Charli XCX,0,3oiMJQAWVaxSubJ7b2VUtX
"""Fast Car""",1989,Tracy Chapman,0,2M9ro2krNb7nr7HSprkEgo
"""Feel Good Inc.""",2006,Gorillaz featuring De La Soul,0,0d28khcov6AiegSCpG5TuT
"""Feel Like Makin' Love""",1975,Roberta Flack,0,7gkboYtvhuXNS4EUwmFPcw
"""Feels So Good""",1979,Chuck Mangione,0,2M7EflZCPCqqRLB9hy5MDy
"""Fever""",1959,Peggy Lee,0,3aPlQWU07jGgyHaBHVS5TS
"""Fire and Rain""",1971,James Taylor,0,1XUKItaRs2494LclJwHhl8
"""Firework""",2012,Katy Perry,0,4lCv7b86sLynZbXhfScfm2
"""Flashdance... What a Feeling""",1984,Irene Cara,0,0FIQjzPGk8eJd1cDRHRFWb
"""Fly Me to the Moon Bossa Nova""",1963,Joe Harnell and His Orchestra,0,3buCYwUudNAfPeqfzh5UvJ
